項次,名稱,最高補助金額,最低使用年限,評估類別,評估地點,備註,核可ICF
105,電腦輔具-紅外線貼片感應滑鼠,35000,5,甲、乙、丁類,,,(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上(重度以上肢體障礙者)，且因四肢癱瘓以致無法操作一般滑鼠功能者。
106,電腦輔具-陀螺儀動作感應滑鼠,35000,5,甲、乙、丁類,,,(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上(重度以上肢體障礙者)，且因四肢癱瘓以致無法操作一般滑鼠功能者。
107,電腦輔具-眼控滑鼠,70000,5,甲、乙、丁類,,,"(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上(重度以上肢體障礙者)，且因四肢癱瘓以致無法操作一般滑鼠功能者。
(二)申請電腦輔具-眼控滑鼠(項次107)者，經評估後確定電腦輔具其他項次(項次103至106)無法使用，並能以穩定眼球動作操作滑鼠者，同時具有基本認知功能，如辨識符號、圖片等， 始得申請。"
108,溝通或電腦輔具用支撐固定器,5000,5,甲、乙、丁類,,,(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上(重度以上肢體障礙者)，且因四肢癱瘓以致無法操作一般滑鼠功能者。
109,語音血壓計,2000,3,不需評估,,"補助對象： 應符合下列所有條件：
(一) 第二類：【b210 】、【s220 】或【01】。(視覺障礙者)
(二)具獨立操作能力。","補助對象： 應符合下列所有條件：
(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)具獨立操作能力。"
110,直立式站立架,15000,5,甲類,,"須提供固定綁帶及下列配件或功能至少3項：
1.桌板。
2.胸部側支撐墊。
3.骨盆側支撐墊。
4.兩側膝部支撐配件可獨立調整。
5.足部固定配件。",
111,前趴式站立架,1000,5,甲類,,"須為可無段或多段調整前趴角度之站立架，並須提供固定綁帶、桌板及下列配件或功能至少3項：
1.胸部側支撐墊。
2.骨盆側支撐墊。
3.膝部分隔支撐墊。
4.足部固定配件。",
112,後仰式站立架或傾斜床-手動調整型,20000,5,甲類,,"須為可無段或多段調整後仰角度之站立架或傾斜床；手動調整型指手動方式調整後仰角度，電動調整型指電動方式調整後仰角度。並須提供固定綁帶及下列配件至少3項：
1.頭部側支撐墊。
2.胸部側支撐墊。
3.骨盆側支撐墊。
4.兩側膝部可分開固定。
5.足部固定配件。
6.踝關節角度可調整功能。
7.手部抓握桿或支撐桌面。",
113,後仰式站立架或傾斜床-電動調整型,25000,5,甲類,,"須為可無段或多段調整後仰角度之站立架或傾斜床；手動調整型指手動方式調整後仰角度，電動調整型指電動方式調整後仰角度。並須提供固定綁帶及下列配件至少3項：
1.頭部側支撐墊。
2.胸部側支撐墊。
3.骨盆側支撐墊。
4.兩側膝部可分開固定。
5.足部固定配件。
6.踝關節角度可調整功能。
7.手部抓握桿或支撐桌面。",
114,連通管氣囊輪椅座墊-基礎型,5000,2,甲類,,氣囊數量20顆以上，且氣囊高度2英吋(或5公分)以上，並具有壓力調節的功能,"補助對象：輪椅使用者，且符合下列條件之一：
(一)下半身皮膚感覺或運動機能喪失，容易產生壓傷(褥瘡)者。
(二)於坐姿相關受壓處已發生壓傷(褥瘡)者。"
115,連通管氣囊輪椅座墊-橡膠材質基礎型,8000,3,甲類,,"橡膠材質，氣囊
數量20顆以上，且氣囊高度2英吋(或5公分)以上，並具有壓力調節的功能。","補助對象：輪椅使用者，且符合下列條件之一：
(一)下半身皮膚感覺或運動機能喪失，容易產生壓傷(褥瘡)者。
(二)於坐姿相關受壓處已發生壓傷(褥瘡)者。"
116,連通管氣囊輪椅座墊-橡膠材質分區型,11000,3,甲類,,"橡膠材質，氣囊
數量20顆以上，且氣囊高度2英吋(或5公分)以上，並具有切換全區連通及分區壓力調節的功能。","補助對象：輪椅使用者，且符合下列條件之一：
(一)下半身皮膚感覺或運動機能喪失，容易產生壓傷(褥瘡)者。
(二)於坐姿相關受壓處已發生壓傷(褥瘡)者。"
117,液態凝膠輪椅座墊,8000,2,甲類,,"1.凝膠覆蓋面積不得小於座面1/2。
2.凝膠厚度應達2英吋(或5公分)以上；若凝膠厚度不足2英吋(或5公分)，則須大於1英吋( 或2.5 公分)，且搭配適形泡棉底座。","補助對象：輪椅使用者，且符合下列條件之一：
(一)下半身皮膚感覺或運動機能喪失，容易產生壓傷(褥瘡)者。
(二)於坐姿相關受壓處已發生壓傷(褥瘡)者。"
118,固態凝膠輪椅座墊,8000,5,甲類,,"1.凝膠覆蓋面積不得小於座面1/2。
2.凝膠厚度應達1英吋(或2.5公分)以上，且搭配適形泡棉底座。
3.凝膠應為連續性覆蓋材質。","補助對象：輪椅使用者，且符合下列條件之一：
(一)下半身皮膚感覺或運動機能喪失，容易產生壓傷(褥瘡)者。
(二)於坐姿相關受壓處已發生壓傷(褥瘡)者。"
119,填充式氣囊輪椅座墊,10000,5,甲類,,其高度須大於2英吋(或5公分)，且填充式氣囊填充體積不得小於座墊2/3，並具有4區塊以上分區壓力調節的功能。,"補助對象：輪椅使用者，且符合下列條件之一：
(一)下半身皮膚感覺或運動機能喪失，容易產生壓傷(褥瘡)者。
(二)於坐姿相關受壓處已發生壓傷(褥瘡)者。"
120,客製化適形泡棉輪椅座墊,8000,3,甲類,,"1.以座面適形提供臀部及大腿內、外側支撐設計，並可利用配件或訂製方式分區設定座面支撐度。
2.厚度：坐骨受壓處應具4公分以上之適形泡棉。
3.含2種以上不同密度之複合式泡棉設計。
4.各層密度：60公斤/立方公尺以上。","補助對象：輪椅使用者，且符合下列條件之一：
(一)下半身皮膚感覺或運動機能喪失，容易產生壓傷(褥瘡)者。
(二)於坐姿相關受壓處已發生壓傷(褥瘡)者。"
121,氣墊床-基礎型,10000,3,甲類,,"1.應含18管以上具可交替充氣功能之電動空氣幫浦及管狀氣囊組。
2.管狀氣囊之管徑4英吋(或10公分)以上，並含有異常壓力警示及可暫停交替之開關。
3.管狀氣囊之材質：「PU 聚氨酯(Polyurethane)」或「PU 聚氨酯(Polyurethane)+尼龍(Nylon)」。
4.管狀氣囊之壓力流量每分鐘4公升(4L/Min)以上。
5.配有C.P.R.快速洩氣閥。","補助對象：應符合下列條件之一:
(一)肢體癱瘓無法翻身且無法自行坐起者。
(二)於臥姿相關受壓處皮膚已有壓傷(褥瘡)者。"
122,氣墊床-進階型,14000,3,甲類,,"應符合氣墊床-基礎型(項次121)所有規格，及停電時須維持4小時以上之不觸底管狀氣囊之壓力保留功能(指具獨立氣室或可持續供電之內建電池)，並具備1種以上之下列功能：
1.具有模擬30度之翻身功能，管狀氣囊為2層管，並有側邊護欄安全設計。
2.管狀氣囊周邊加裝利於坐姿移位之邊框。
3.具有壓力感應之數位幫浦啟停控制系統。
4.管狀氣囊總高度達8英吋(或20公分)以上。","補助對象：應符合下列條件之一:
(一)肢體癱瘓無法翻身且無法自行坐起者。
(二)於臥姿相關受壓處皮膚已有壓傷(褥瘡)者。"
123,居家用照顧床,9000,5,甲類,,,補助對象：肢體功能受限而翻身或坐起困難者。
124,照顧床附加功能-床板靠背段及腿段獨立抬升功能(電動),3000,5,甲類,,,補助對象：肢體功能受限而翻身或坐起困難者。
125,照顧床附加功能-床板高度調整功能(手動),4000,5,甲類,,,補助對象：肢體功能受限而翻身或坐起困難者。
126,照顧床附加功能-床板高度調整功能(電動),6000,5,甲類,,,補助對象：肢體功能受限而翻身或坐起困難者。
127,照顧床附加功能-床板高度調整功能(高升降行程電動),9000,5,甲類,,,補助對象：肢體功能受限而翻身或坐起困難者。
128,擺位椅-基礎型,4000,3,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】中度以上。(中度以上肢體障礙者)
(二)12歲以下。"
129,擺位椅-調整型,8000,3,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】中度以上。(中度以上肢體障礙者)
(二)12歲以下。"
130,擺位椅-進階調整型,15000,5,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】中度以上。(中度以上肢體障礙者)
(二)12歲以下。"
131,升降桌,6000,5,甲、丁類,,,補助對象：第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上。(重度以上肢體障礙者)
132,居家無障礙輔具-爬梯機,80000,10,甲、丁類,,,"補助對象：無法自行上下樓梯
者，且應符合下列條件之一：
(一)第一類：【b110.4】或【09】。(植物人)
(二)第二類：【b235】或【03】。(平衡機能障礙者)
(三)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
133,居家無障礙修繕-軌道式樓梯升降機,80000,10,甲、丁類,,,"補助對象：無法自行上下樓梯
者，且應符合下列條件之一：
(一)第一類：【b110.4】或【09】。(植物人)
(二)第二類：【b235】或【03】。(平衡機能障礙者)
(三)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
134,居家無障礙修繕-固定式動力垂直升降平台,80000,10,甲、丁類,,,"補助對象：無法自行上下樓梯
者，且應符合下列條件之一：
(一)第一類：【b110.4】或【09】。(植物人)
(二)第二類：【b235】或【03】。(平衡機能障礙者)
(三)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
135,居家無障礙修繕-門簡易型(單處),7000,10,甲、丁、戊類,,,
136,居家無障礙修繕-門進階型(單處),10000,10,甲、丁、戊類,,,
137,居家無障礙修繕-固定式扶手(每10公分),160,10,甲、丁、戊類,,,
138,居家無障礙修繕-可動式扶手(單支),3600,10,甲、丁、戊類,,,
139,居家無障礙修繕-截水槽(單處),6000,10,甲、丁、戊類,,,
140,居家無障礙修繕-改善高低差10公分以下(單處),3500,10,甲、丁、戊類,,,
141,居家無障礙修繕-改善高低差20公分以下(單處),5000,10,甲、丁、戊類,,,
142,居家無障礙修繕-改善高低差30公分以下(單處),7000,10,甲、丁、戊類,,,
143,居家無障礙修繕-改善高低差超過30公分(單處),10000,10,甲、丁、戊類,,,
144,居家無障礙修繕-水龍頭(新增、改換),3000,10,甲、丁、戊類,,,
145,居家無障礙修繕-防滑地磚(單處),6000,10,甲、丁、戊類,,,
146,居家無障礙修繕-改善浴缸(新增、改換、移除),7000,10,甲、丁、戊類,,,
147,居家無障礙修繕-改善洗臉台(新增、改換、移除),3000,10,甲、丁、戊類,,,
148,居家無障礙修繕-改善馬桶(新增、改換、移除),5000,10,甲、丁、戊類,,,
149,居家無障礙修繕-馬桶背靠(單處),2000,10,甲、丁、戊類,,,
150,居家無障礙修繕-改善流理台(新增、改換),15000,10,甲、丁、戊類,,,
151,居家無障礙修繕-改善抽油煙機(位置調整),1000,10,甲、丁、戊類,,,
152,居家無障礙修繕-隔間(每平方公尺),800,10,甲、丁、戊類,,,
153,居家無障礙修繕-壁掛式淋浴台(單處),5000,10,甲、丁、戊類,,,
154,居家無障礙輔具-門檻斜角(單側),100,10,甲、丁、戊類,,,
155,居家無障礙輔具-非固定式斜坡板(未達90公分),3500,10,甲、丁、戊類,,,
156,居家無障礙輔具-非固定式斜坡板(90公分以上),5000,10,甲、丁、戊類,,,
157,居家無障礙輔具-非固定式斜坡板(120公分以上),7000,10,甲、丁、戊類,,,
158,居家無障礙輔具-非固定式斜坡板(150公分以上),10000,10,甲、丁、戊類,,,
159,居家無障礙輔具-防滑措施(單處),2000,3,甲、丁、戊類,,,
160,居家無障礙輔具-反光貼條或消光處理(單處),2000,3,甲、丁、戊類,,,
161,居家無障礙輔具-馬桶扶手(單處),900,10,甲、丁、戊類,,,
162,居家無障礙輔具-床邊扶手(單處),1000,10,甲、丁、戊類,,,
163,移動式身體清洗槽-局部型 (項次 163),1200,3,甲、丁類,,,
164,移動式身體清洗槽-全身型 (項次 164),5000,3,甲、丁類,,,
165,頭護具,600,2,不需評估,,,
166,馬桶增高器,800,3,不需評估,,,
167,沐浴椅(一般型),900,3,不需評估,,,
168,便盆椅(一般型),1200,3,不需評估,,,
169,沐浴椅或便盆椅附加功能-附輪,1000,3,不需評估,,,
170,沐浴椅或便盆椅附加功能-具利於移位之扶手,1000,3,甲類,,,
171,沐浴椅或便盆椅附加功能-具仰躺功能,1500,3,甲類,,,
172,沐浴椅或便盆椅附加功能-具空中傾倒功能,3500,3,甲類,,,
173,語音體溫計,1800,3,不需評估,,,"(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)具獨立操作能力。"
174,語音體重計,1000,3,不需評估,,,"(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二)具獨立操作能力。"
175,衣著用輔具,500,3,不需評估,,,補助對象：身心障礙者。
176,飲食用輔具,500,3,不需評估,,,補助對象：身心障礙者。
177,居家用輔具,500,3,不需評估,,,補助對象：身心障礙者。
178,物品裝置與處理輔具,500,3,不需評估,,,補助對象：身心障礙者。
179,藥品處理輔具,500,3,不需評估,,,補助對象：身心障礙者。
180,部分手義肢,10000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
181,腕離斷義肢-美觀型,14000,4,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
182,腕離斷義肢-功能型,42000,4,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
183,肘下義肢-美觀型,35000,4,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
184,肘下義肢-功能型,45000,4,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
185,肘離斷義肢-美觀型,55000,4,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
186,肘離斷義肢-功能型,65000,4,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
187,肘上義肢-美觀型,55000,4,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
188,肘上義肢-功能型,65000,4,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
189,肩離斷義肢-美觀型,65000,4,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
190,肩離斷義肢-功能型,75000,4,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
191,肩胛骨離斷義肢,70000,4,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
192,部分足義肢-基礎型,7000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
193,部分足義肢-功能型,15000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。
(三)申請部分足義肢-功能型(項次193)，須為全部腳趾截除之截肢者。"
194,踝離斷義肢,40000,6,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
195,膝下義肢,40000,6,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
196,膝離斷義肢,60000,7,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
197,膝上義肢,60000,7,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
198,髖離斷義肢,70000,7,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
199,半骨盆切除義肢,70000,7,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
200,義肢組件更換-義肢手套,8000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
201,義肢組件更換-手部裝置,10000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
202,義肢組件更換-義肢腳套,4500,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
203,義肢組件更換-義肢腳掌組(基礎型),4500,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
204,義肢組件更換-義肢腳掌組(進階型),8000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
205,義肢組件更換-膝關節,15000,3,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
206,義肢組件更換-髖關節,10000,3,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
207,義肢組件更換(踝離斷或膝下)-硬式承筒或凝膠軟套,10000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
208,義肢組件更換(膝離斷或膝上)-硬式承筒或凝膠軟套,15000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
209,義肢組件更換(髖離斷或半骨盆切除)-硬式承筒,15000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
210,義肢組件更換(踝離斷或膝下)-美觀泡棉,4000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
211,義肢組件更換(膝離斷或膝上)-美觀泡棉,6000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
212,義肢組件更換(髖離斷或半骨盆切除)-美觀泡棉,6000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)18歲以上。"
213,踝足矯具-踝上矯具型,3000,3,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
214,踝足矯具-固定型或金屬支架型,3500,3,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
215,踝足矯具-關節型,4000,3,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
216,膝踝足矯具,10000,3,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
217,髖膝踝足矯具,12000,3,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
218,下肢矯具配件-鞋具(托足鞋型),1500,3,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
219,下肢矯具配件-鞋具(皮鞋型),4000,3,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
220,肘矯具,1000,3,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
221,膝矯具,1500,3,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
222,髖矯具,6000,5,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
223,脊柱矯具-支持性背架(基礎型),4000,5,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
224,脊柱矯具-支持性背架(量身訂製型),10000,5,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
225,脊柱矯具-脊柱側彎矯正背架,15000,5,甲類,,,"補助對象：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)
(二)申請脊柱矯具-脊柱側彎矯正背架(項次225)者，其年齡須為25歲以下，另限制脊柱側彎診斷為20度以上。"
226,量身訂製特製鞋-楦頭修改(單腳),5000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】(肢體障礙者)，且經輔具輔助下能獨立步行者。
(二)先天性或後天疾病造成足部關節構造明顯異常者，若無法判定足部關節構造明顯異常者，須出示經骨科、復健科或免疫風濕專科醫師根據放射影像開立構造性足關節嚴重變形之診斷證明書。
(三)市售鞋款無法滿足其合腳需求，而須量腳或取模製作者。"
227,量身訂製特製鞋-楦頭修改(雙腳),6000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】(肢體障礙者)，且經輔具輔助下能獨立步行者。
(二)先天性或後天疾病造成足部關節構造明顯異常者，若無法判定足部關節構造明顯異常者，須出示經骨科、復健科或免疫風濕專科醫師根據放射影像開立構造性足關節嚴重變形之診斷證明書。
(三)市售鞋款無法滿足其合腳需求，而須量腳或取模製作者。"
228,量身訂製特製鞋-新製開楦(單腳),12000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】(肢體障礙者)，且經輔具輔助下能獨立步行者。
(二)先天性或後天疾病造成足部關節構造明顯異常者，若無法判定足部關節構造明顯異常者，須出示經骨科、復健科或免疫風濕專科醫師根據放射影像開立構造性足關節嚴重變形之診斷證明書。
(三)市售鞋款無法滿足其合腳需求，而須量腳或取模製作者。"
229,量身訂製特製鞋-新製開楦(雙腳),18000,2,甲類,,,"補助對象：應符合下列所有條件：
(一)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】(肢體障礙者)，且經輔具輔助下能獨立步行者。
(二)先天性或後天疾病造成足部關節構造明顯異常者，若無法判定足部關節構造明顯異常者，須出示經骨科、復健科或免疫風濕專科醫師根據放射影像開立構造性足關節嚴重變形之診斷證明書。
(三)市售鞋款無法滿足其合腳需求，而須量腳或取模製作者。"
230,透明壓力面膜-不含矽膠內層,16000,1,甲類,,,補助對象：第八類：【b810】、【s810】或【08】。(顏面損傷者)
231,透明壓力面膜-含矽膠內層,18000,1,甲類,,,補助對象：第八類：【b810】、【s810】或【08】。(顏面損傷者)
232,假髮,20000,4,甲類,,,"補助對象：應符合下列所有條件：
(一) 第八類：【b810】、【s810】或【08】。(顏面損傷者)
(二)因燒傷或外傷造成頭皮缺損而使頭髮無法重新生長者。"
233,義眼,10000,5,甲類,,,"補助對象：應符合下列條件之一：
(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二) 第八類：【b810】、【s810】或【08】。(顏面損傷者)
(三)小耳症患者。"
234,義鼻,13000,3,甲類,,,"補助對象：應符合下列條件之一：
(一) 第二類：【b210】、【s220】或【01】。(視覺障礙者)
(二) 第八類：【b810】、【s810】或【08】。(顏面損傷者)
(三)小耳症患者。"
