項次,名稱,最高補助金額,最低使用年限,評估類別,評估地點,備註,核可ICF
30,電動代步車,25000,5,甲類,僅限輔具中心,,"補助對象：應具自行駕駛電動代步車之能力且符合下列條件之一：
(一) 第四類：【b410】、【b415】、【b430】或【07】重度以上；
第四類：【b440】、【s430】或【07】重度以上；
第五類：【b510】、【s530】、【s540】、【s560】或【07】重度以上；
第六類：【b610】、【b620】、【s610】或【07】重度以上。(重度以上重要器官失去功能者)
(二) 第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】重度以上。(重度以上肢體障礙者)"
31,行動輔具附加功能-完成搭配機動車輛使用之衝擊測試,3000,不適用,不適用,不適用,,"補助對象：應為推車、輪椅、高
活動型輪椅、手推圈啟動型動力輔助輪椅、電動輪椅或電動代步車之使用者。"
32,特製機車-加裝輔助後輪特製車,65000,6,不需評估,免評,,"(一)第二類：【b235】或【03】。(平衡機能障礙者)
(二)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
33,特製機車-加裝差速器套件及輔助後輪特製車,78000,6,不需評估,免評,,"(一)第二類：【b235】或【03】。(平衡機能障礙者)
(二)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
34,特製機車-改裝輪椅直上式特製車,80000,6,不需評估,免評,,"(一)第二類：【b235】或【03】。(平衡機能障礙者)
(二)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
35,三輪機車,65000,6,不需評估,免評,,"(一)第二類：【b235】或【03】。(平衡機能障礙者)
(二)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
36,機車改裝-裝設輔助後輪,15000,6,不需評估,免評,,"(一)第二類：【b235】或【03】。(平衡機能障礙者)
(二)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
37,機車改裝-裝設差速器套件及輔助後輪,28000,6,不需評估,免評,,"(一)第二類：【b235】或【03】。(平衡機能障礙者)
(二)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
38,機車改裝-裝設輪椅直上裝置,30000,6,不需評估,免評,,"(一)第二類：【b235】或【03】。(平衡機能障礙者)
(二)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
39,機車改裝-油門或煞車改裝,6000,6,不需評估,免評,,"(一)第二類：【b235】或【03】。(平衡機能障礙者)
(二)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
40,特製機車改裝-裝設倒退輔助器,8000,6,不需評估,免評,,"(一)第二類：【b235】或【03】。(平衡機能障礙者)
(二)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
41,汽車改裝-油門或煞車連桿,15000,6,不需評估,免評,,"(一)第二類：【b235】或【03】。(平衡機能障礙者)
(二)第七類：【b710a】、【b710b】、【b730a】、【b730b】、【b735】、【b765】、【s730】、【s750】、【s760】或【05】。(肢體障礙者)"
42,單支拐杖-量產型,500,3,不需評估,免評,,
43,單支拐杖-客製型,1500,5,甲類,醫院或輔具中心,,
44,助行器-一般型,800,3,不需評估,免評,,
45,助行器-輪管型或助起型(R型),1200,3,不需評估,免評,,
46,帶輪型助步車(助行椅),3000,3,甲類,醫院或輔具中心,,
47,姿勢控制型助行器,8000,3,甲類,醫院或輔具中心,,
48,軀幹支撐型步態訓練器,18000,3,甲類,醫院或輔具中心,,
49,移位腰帶,1500,3,甲、丁類,僅限輔具中心,,
50,移位轉盤,2000,3,甲、丁類,僅限輔具中心,,
